일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2022/12/29","74140","60","0.08","74150","74170","73780","38452","2846302180"
"2022/12/28","74080","80","0.11","74320","74340","74050","3873","287119610"
"2022/12/27","74000","-80","-0.11","74080","74270","73650","38229","2826632270"
"2022/12/26","74080","180","0.24","74800","75150","74070","1102","81769780"
"2022/12/23","73900","-700","-0.94","74600","74600","73700","12485","924637470"
"2022/12/22","74600","-230","-0.31","74730","74820","74540","723","53954790"
"2022/12/21","74830","530","0.71","74300","75120","74300","1564","117378340"
"2022/12/20","74300","-550","-0.73","74900","74900","74100","3760","280436360"
"2022/12/19","74850","110","0.15","75200","75200","74740","1728","129538970"
"2022/12/16","74740","-250","-0.33","74990","75020","74730","2074","155172530"
"2022/12/15","74990","-100","-0.13","75440","75440","74850","1208","90548520"
"2022/12/14","75090","460","0.62","75000","75400","75000","1353","101818420"
"2022/12/13","74630","-340","-0.45","74760","74990","74550","2495","186393410"
"2022/12/12","74970","-170","-0.23","75290","75410","74970","2421","182343880"
"2022/12/09","75140","-310","-0.41","75450","75660","74960","744","55948050"
"2022/12/08","75450","610","0.82","75450","75470","75330","2846","214642430"
"2022/12/07","74840","60","0.08","74900","75150","74840","3083","231126590"
"2022/12/06","74780","-290","-0.39","74290","74780","74000","1211","90045520"
"2022/12/05","75070","-50","-0.07","75100","75140","74640","1774","132777760"
"2022/12/02","75120","560","0.75","75010","75400","74870","2395","179633030"
"2022/12/01","74560","370","0.50","74400","74810","74150","1533","113934200"
"2022/11/30","74190","-490","-0.66","74600","74660","74180","5684","422646060"
"2022/11/29","74680","-420","-0.56","75000","75000","74400","2605","194371460"
"2022/11/28","75100","520","0.70","75070","75250","75010","942","70742180"
"2022/11/25","74580","-120","-0.16","74760","75050","74510","5715","426930500"
"2022/11/24","74700","-810","-1.07","75270","75430","74650","2176","162916820"
"2022/11/23","75510","-110","-0.15","75560","75640","75420","413","31183700"
"2022/11/22","75620","-160","-0.21","75780","75880","75590","1245","94205610"
"2022/11/21","75780","10","0.01","75750","75780","75320","927","70196520"
"2022/11/18","75770","60","0.08","75710","75810","75710","432","32733110"
"2022/11/17","75710","260","0.34","75620","75960","75490","5918","448668140"
"2022/11/16","75450","370","0.49","75380","75700","75340","1521","114846110"
"2022/11/15","75080","-30","-0.04","75490","75490","74850","1030","77371200"
"2022/11/14","75110","480","0.64","74700","75170","74350","1957","146158400"
"2022/11/11","74630","-670","-0.89","76090","76090","74480","1792","134853420"
"2022/11/10","75300","340","0.45","74980","75300","74800","603","45295090"
"2022/11/09","74960","540","0.73","75690","75800","74800","1479","111053500"
"2022/11/08","74420","-900","-1.19","75000","75000","74350","3499","260841400"
"2022/11/07","75320","240","0.32","75090","75940","75090","765","57792510"
"2022/11/04","75080","400","0.54","74710","75080","74690","984","73641480"
"2022/11/03","74680","-430","-0.57","74990","74990","74650","2291","171239180"
"2022/11/02","75110","330","0.44","75180","75190","74950","1213","91013770"
"2022/11/01","74780","-360","-0.48","74960","75030","74680","4174","312501060"
"2022/10/31","75140","-510","-0.67","75520","75520","74940","2120","159084550"
"2022/10/28","75650","-250","-0.33","76040","76040","75610","1477","111924780"
"2022/10/27","75900","-100","-0.13","76000","76100","75830","639","48487180"
"2022/10/26","76000","20","0.03","75870","76000","75760","854","64769180"
"2022/10/25","75980","-360","-0.47","76340","76480","75860","3183","241976490"
"2022/10/24","76340","1380","1.84","75000","76350","75000","2431","184988640"
"2022/10/21","74960","20","0.03","74900","75090","74730","6590","494015750"
"2022/10/20","74940","-330","-0.44","75270","75270","74640","1232","92187160"
"2022/10/19","75270","-370","-0.49","75640","75640","75000","2095","157721650"
"2022/10/18","75640","-470","-0.62","76090","76090","75380","1553","117551440"
"2022/10/17","76110","-240","-0.31","76200","76250","75960","882","67081800"
"2022/10/14","76350","20","0.03","76060","76480","76060","833","63566520"
"2022/10/13","76330","-50","-0.07","76450","76690","76300","1880","143572390"
"2022/10/12","76380","-180","-0.24","76650","76690","76230","2406","184174850"
"2022/10/11","76560","-650","-0.84","77000","77000","76500","2307","177058930"
